NPS Mortality CY 2007 to CY 2023 ,,,,,,
Released April 2023,,,,,,
Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
4/23/2007,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Female,35-44
4/23/2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
4/23/2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
4/30/2007,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,25-34
4/30/2007,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,35-44
5/3/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
5/3/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
5/14/2007,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
5/15/2007,Golden Gate National Recreation Area,Fall,Unintentional,Fatal injury,Male,25-34
5/16/2007,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,25-34
5/16/2007,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,25-34
5/16/2007,Golden Gate National Recreation Area,Fall,Unintentional,Fatal injury,Male,35-44
5/17/2007,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,25-34
5/17/2007,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Female,35-44
5/17/2007,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Female,55-64
5/19/2007,Yosemite National Park,Drowning,Unintentional,Fatal injury,Male,25-34
5/21/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,15-24
5/27/2007,Gulf Islands National Seashore,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Female,35-44
5/28/2007,Olympic National Park,Drowning,Unintentional,Fatal injury,Male,45-54
5/29/2007,Haleakala National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,0-14
6/1/2007,Acadia National Park,Drowning,Unintentional,Fatal injury,Female,55-64
6/2/2007,Curecanti National Recreation Area,Fall,Unintentional,Fatal injury,Male,45-54
6/3/2007,Chickasaw National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/3/2007,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
6/4/2007,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,15-24
6/4/2007,Zion National Park,Fall,Unintentional,Fatal injury,Male,45-54
6/8/2007,Zion National Park,Fall,Unintentional,Fatal injury,Male,45-54
6/9/2007,Golden Gate National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,45-54
6/9/2007,Cape Cod National Seashore,Undetermined,Undetermined,Fatal injury,Male,55-64
6/10/2007,Lake Meredith National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/10/2007,Sequoia & Kings Canyon National Parks,Fall,Unintentional,Fatal injury,Male,15-24
6/14/2007,Lake Mead National Recreation Area,Fall,Unintentional,Fatal injury,Male,25-34
6/16/2007,Point Reyes National Seashore,Drowning,Unintentional,Fatal injury,Male,25-34
6/16/2007,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,35-44
6/16/2007,Mount Rainier National Park,Fall,Unintentional,Fatal injury,Male,45-54
6/16/2007,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
6/16/2007,Golden Gate National Recreation Area,Poisoning,Unintentional,Fatal injury,Male,Not Reported
6/17/2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
6/18/2007,Mount Rainier National Park,Fall,Unintentional,Fatal injury,Male,45-54
6/22/2007,Whiskeytown National Recreation Area,Drowning,Unintentional,Fatal injury,Female,0-14
6/22/2007,Apostle Islands National Lakeshore,Drowning,Unintentional,Fatal injury,Male,55-64
7/1/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
7/4/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,35-44
7/5/2007,Delaware Water Gap National Recreation Area,Fall,Unintentional,Fatal injury,Female,35-44
7/5/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported
7/6/2007,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,15-24
7/7/2007,Glen Canyon National Recreation Area,Poisoning,Unintentional,Fatal injury,Female,0-14
7/7/2007,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
7/10/2007,Channel Islands National Park,Drowning,Unintentional,Fatal injury,Male,45-54
7/11/2007,Yosemite National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
7/13/2007,National Capital Parks-East,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
7/19/2007,Colonial National Historical Park,Drowning,Unintentional,Fatal injury,Female,0-14
7/26/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,25-34
7/28/2007,North Cascades National Park,Fall,Unintentional,Fatal injury,Female,55-64
8/2/2007,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,25-34
8/4/2007,Badlands National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
8/5/2007,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
8/6/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
8/7/2007,Wind Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
8/11/2007,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
8/12/2007,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,55-64
8/14/2007,Yosemite National Park,Hypothermia,Unintentional,Fatal injury,Female,65+
8/16/2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
8/16/2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64
8/16/2007,Haleakala National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,65+
8/17/2007,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65+
8/19/2007,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
8/19/2007,Glen Canyon National Recreation Area,Other,Unintentional,Fatal injury,Male,Not Reported
8/19/2007,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Female,Not Reported
8/21/2007,Sequoia & Kings Canyon National Parks,Fall,Unintentional,Fatal injury,Male,35-44
8/23/2007,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
8/24/2007,Glen Canyon National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,15-24
8/25/2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
8/25/2007,Point Reyes National Seashore,Drowning,Unintentional,Fatal injury,Male,Not Reported
9/1/2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
9/4/2007,Lake Roosevelt National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
9/7/2007,Yellowstone National Park,Drowning,Unintentional,Fatal injury,Male,65+
9/7/2007,Yellowstone National Park,Drowning,Unintentional,Fatal injury,Male,65+
9/8/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
9/12/2007,Glen Echo Park,Drowning,Unintentional,Fatal injury,Male,55-64
9/19/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
9/19/2007,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
9/23/2007,Biscayne National Park,Undetermined,Undetermined,Fatal injury,Male,Not Reported
9/26/2007,Haleakala National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Female,65+
9/28/2007,Yellowstone National Park,Fall,Unintentional,Fatal injury,Female,25-34
9/28/2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,55-64
9/29/2007,New River Gorge National River,Fall,Unintentional,Fatal injury,Male,15-24
9/29/2007,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
9/29/2007,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Not Reported
9/30/2007,Katmai National Park & Preserve,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
9/30/2007,Katmai National Park & Preserve,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
9/30/2007,Katmai National Park & Preserve,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
9/30/2007,Katmai National Park & Preserve,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Not Reported,Not Reported
10/5/2007,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/5/2007,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/6/2007,Haleakala National Park,Fall,Unintentional,Fatal injury,Male,25-34
10/8/2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,0-14
10/9/2007,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Female,0-14
10/14/2007,Gila Cliff Dwellings National Monument,Undetermined,Undetermined,Fatal injury,Male,25-34
10/19/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
10/22/2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
11/6/2007,Cape Lookout National Seashore,Drowning,Unintentional,Fatal injury,Male,65+
11/11/2007,Yosemite National Park,Hypothermia,Unintentional,Fatal injury,Male,35-44
11/23/2007,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
11/25/2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
11/25/2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
11/25/2007,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported
11/27/2007,Rocky Mountain National Park,Undetermined,Undetermined,Fatal injury,Male,65+
12/8/2007,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
12/18/2007,Mount Rainier National Park,Avalanche,Unintentional,Fatal injury,Male,15-24
12/18/2007,Mount Rainier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
12/29/2007,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,25-34
12/29/2007,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
1/5/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
1/26/2008,Biscayne National Park,Drowning,Unintentional,Fatal injury,Male,45-54
1/28/2008,Sequoia & Kings Canyon National Parks,Avalanche,Unintentional,Fatal injury,Male,35-44
1/29/2008,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/30/2008,Chickamauga & Chattanooga National Military Park,Other,Unintentional,Fatal injury,Female,55-64
2/8/2008,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
2/9/2008,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Not Reported,35-44
2/16/2008,Yosemite National Park,Fall,Unintentional,Fatal injury,Male,0-14
2/25/2008,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
2/27/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
2/29/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
3/3/2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
3/15/2008,Haleakala National Park,Poisoning,Unintentional,Fatal injury,Male,15-24
3/15/2008,Gateway National Recreation Area,Other,Unintentional,Fatal injury,Not Reported,Not Reported
3/15/2008,Gateway National Recreation Area,Other,Unintentional,Fatal injury,Not Reported,Not Reported
3/17/2008,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/19/2008,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
3/26/2008,Shenandoah National Park,Undetermined,Undetermined,Fatal injury,Male,Not Reported
4/3/2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
4/3/2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
4/14/2008,Golden Gate National Recreation Area,Fall,Unintentional,Fatal injury,Female,15-24
4/18/2008,Little River Canyon National Preserve,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,35-44
4/26/2008,Suitland,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
4/26/2008,Suitland,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
5/2/2008,Suitland,Undetermined,Undetermined,Fatal injury,Male,15-24
5/2/2008,North Cascades National Park,Undetermined,Undetermined,Fatal injury,Male,25-34
5/3/2008,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
5/4/2008,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,0-14
5/5/2008,Pinnacles National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
5/17/2008,Chickasaw National Recreation Area,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,15-24
5/17/2008,North Cascades National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,55-64
5/17/2008,North Cascades National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,65+
5/20/2008,Redwood National and State Parks,Drowning,Unintentional,Fatal injury,Male,35-44
5/20/2008,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Not Reported
5/23/2008,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,65+
5/23/2008,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
5/26/2008,George Washington Memorial Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
5/27/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
5/29/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
5/31/2008,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34
5/31/2008,Curecanti National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
6/1/2008,Little River Canyon National Preserve,Drowning,Unintentional,Fatal injury,Female,0-14
6/1/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
6/2/2008,Canyonlands National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,45-54
6/2/2008,Canyonlands National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,65+
6/4/2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+
6/6/2008,Gulf Islands National Seashore,Drowning,Unintentional,Fatal injury,Female,45-54
6/7/2008,Buffalo National River,Drowning,Unintentional,Fatal injury,Female,35-44
6/8/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Female,45-54
6/8/2008,Canyonlands National Park,Fall,Unintentional,Fatal injury,Male,55-64
6/9/2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/9/2008,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,25-34
6/9/2008,Rocky Mountain National Park,Fall,Unintentional,Fatal injury,Male,65+
6/10/2008,Mount Rainier National Park,Hypothermia,Unintentional,Fatal injury,Male,25-34
6/13/2008,Chattahoochee River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/14/2008,Canyonlands National Park,Fall,Unintentional,Fatal injury,Male,65+
6/15/2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/15/2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
6/21/2008,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported
6/23/2008,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
6/24/2008,Glen Canyon National Recreation Area,Poisoning,Unintentional,Fatal injury,Not Reported,Not Reported
6/25/2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/25/2008,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/28/2008,Mammoth Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,35-44
6/29/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/30/2008,Saguaro National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,35-44
7/4/2008,Mount Rainier National Park,Fall,Unintentional,Fatal injury,Male,15-24
7/4/2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/4/2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,25-34
7/4/2008,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,45-54
7/5/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
7/7/2008,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/7/2008,Denali National Park & Preserve,Fall,Unintentional,Fatal injury,Male,15-24
7/9/2008,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
7/9/2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported
7/13/2008,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,0-14
7/19/2008,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
7/19/2008,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,55-64
7/21/2008,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/25/2008,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
7/26/2008,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
7/26/2008,North Cascades National Park,Fall,Unintentional,Fatal injury,Female,45-54
7/27/2008,Dinosaur National Monument,Drowning,Unintentional,Fatal injury,Male,0-14
7/29/2008,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
8/2/2008,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,0-14
8/8/2008,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,15-24
8/9/2008,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
8/9/2008,Grand Teton National Park,Fall,Unintentional,Fatal injury,Male,55-64
8/9/2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,65+
8/12/2008,Great Falls,Drowning,Unintentional,Fatal injury,Male,45-54
8/21/2008,Glacier National Park,Avalanche,Unintentional,Fatal injury,Not Reported,Not Reported
8/24/2008,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,55-64
8/27/2008,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,25-34
8/27/2008,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
8/28/2008,Grand Canyon National Park,Fall,Unintentional,Fatal injury,Male,55-64
8/29/2008,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,25-34
8/29/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
9/1/2008,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
9/7/2008,Mojave National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
9/8/2008,Yosemite National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
9/10/2008,Glen Canyon National Recreation Area,Flash flood,Unintentional,Fatal injury,Male,55-64
9/10/2008,Glen Canyon National Recreation Area,Flash flood,Unintentional,Fatal injury,Female,55-64
9/11/2008,Great Falls,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported
9/20/2008,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
9/21/2008,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Female,0-14
9/25/2008,Big Thicket National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,45-54
9/29/2008,Shenandoah National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
9/30/2008,Rocky Mountain National Park,Fall,Unintentional,Fatal injury,Male,35-44
10/3/2008,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/3/2008,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Female,55-64
10/5/2008,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
10/5/2008,National Mall & Memorial Parks,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,15-24
10/5/2008,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
10/16/2008,Redwood National and State Parks,Fall,Unintentional,Fatal injury,Female,15-24
10/17/2008,Golden Gate National Recreation Area,Fall,Unintentional,Fatal injury,Male,25-34
10/17/2008,Zion National Park,Fall,Unintentional,Fatal injury,Male,25-34
10/22/2008,Glacier National Park,Fall,Unintentional,Fatal injury,Male,Not Reported
11/4/2008,Buffalo National River,Other,Unintentional,Fatal injury,Male,25-34
11/8/2008,Great Smoky Mountains National Park,Fall,Unintentional,Fatal injury,Male,25-34
11/8/2008,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Not Reported
11/16/2008,Lake Mead National Recreation Area,Fall,Unintentional,Fatal injury,Male,35-44
11/18/2008,Amistad National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Not Reported
11/20/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34
11/28/2008,Zion National Park,Fall,Unintentional,Fatal injury,Male,55-64
11/29/2008,Zion National Park,Fall,Unintentional,Fatal injury,Male,55-64
12/4/2008,Amistad National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
12/14/2008,Gateway National Recreation Area,Hypothermia,Unintentional,Fatal injury,Male,55-64
12/16/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
12/18/2008,Harpers Ferry National Historical Park,Undetermined,Undetermined,Fatal injury,Female,65+
12/26/2008,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
12/29/2008,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
1/4/2009,Golden Gate National Recreation Area,Hypothermia,Unintentional,Fatal injury,Female,65+
1/9/2009,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65+
1/9/2009,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65+
1/16/2009,Hawaii Volcanoes National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,65+
1/18/2009,Hawaii Volcanoes National Park,"Other Transportation 
(e.g. bicycle, aircraft)",Unintentional,Fatal injury,Male,65+
1/20/2009,Chesapeake & Ohio Canal National Historical Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
1/24/2009,Voyageurs National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
1/24/2009,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
1/29/2009,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported
